Run	SampleName	BioSample	LibraryLayout	Platform	Model	spots	bases	size_MB
SRR6000894	SAM_01	SAMN07599720	PAIRED	ILLUMINA	NextSeq 500	36728222	11057361847	4513
SRR6000893	SAM_02	SAMN07599721	PAIRED	ILLUMINA	NextSeq 500	20830733	6270457293	2377
SRR6000899	SAM_03	SAMN07599722	PAIRED	ILLUMINA	NextSeq 500	51573942	15520345314	5853
SRR6000873	SAM_04	SAMN07599723	PAIRED	ILLUMINA	NextSeq 500	20743094	6245017183	2387
SRR6000874	SAM_05	SAMN07599724	PAIRED	ILLUMINA	NextSeq 500	31592474	9510045296	3593
SRR6000877	SAM_06	SAMN07599725	PAIRED	ILLUMINA	NextSeq 500	70528967	21220498566	8572
SRR6000871	SAM_07	SAMN07599726	PAIRED	ILLUMINA	NextSeq 500	26743107	8051063985	3045
SRR6000878	SAM_08	SAMN07599727	PAIRED	ILLUMINA	NextSeq 500	35090967	10557209729	4244
SRR6000944	SAM_10	SAMN07599729	PAIRED	ILLUMINA	NextSeq 500	73937183	22252458983	8425
SRR6000940	SAM_11	SAMN07599730	PAIRED	ILLUMINA	NextSeq 500	38875408	11700675918	4811
SRR6000945	SAM_12	SAMN07599731	PAIRED	ILLUMINA	NextSeq 500	24195770	7282716721	2930
SRR6000943	SAM_13	SAMN07599732	PAIRED	ILLUMINA	NextSeq 500	44781608	13413558306	5509
SRR6000890	SAM_14	SAMN07599733	PAIRED	ILLUMINA	NextSeq 500	19420853	5846414930	2410
SRR6000869	SAM_15	SAMN07599734	PAIRED	ILLUMINA	NextSeq 500	78338892	23434172015	9608
SRR6000946	SAM_16	SAMN07599735	PAIRED	ILLUMINA	NextSeq 500	23077843	6946521728	2659
SRR6000949	SAM_17	SAMN07599736	PAIRED	ILLUMINA	NextSeq 500	66471810	19917956579	8168
SRR6000896	SAM_18	SAMN07599737	PAIRED	ILLUMINA	NextSeq 500	51563560	15518882117	6241
SRR6000947	SAM_19	SAMN07599738	PAIRED	ILLUMINA	NextSeq 500	46826306	14095757358	5708
SRR6000903	SAM_20	SAMN07599739	PAIRED	ILLUMINA	NextSeq 500	23840902	7173857143	2903
SRR6000905	SAM_21	SAMN07599740	PAIRED	ILLUMINA	NextSeq 500	73173776	22008608876	8879
SRR6000902	SAM_22	SAMN07599741	PAIRED	ILLUMINA	NextSeq 500	29540457	8892810237	3599
SRR6000901	SAM_23	SAMN07599742	PAIRED	ILLUMINA	NextSeq 500	54206526	16287504405	6698
SRR6000906	SAM_24	SAMN07599743	PAIRED	ILLUMINA	NextSeq 500	39219508	11804850010	4531
SRR6000942	SAM_25	SAMN07599744	PAIRED	ILLUMINA	NextSeq 500	21117658	6357118127	2576
SRR6000910	SAM_26	SAMN07599745	PAIRED	ILLUMINA	NextSeq 500	35853899	10792788253	4356
SRR6000900	SAM_27	SAMN07599746	PAIRED	ILLUMINA	NextSeq 500	28210234	8491250548	3208
SRR6000931	SAM_28	SAMN07599747	PAIRED	ILLUMINA	NextSeq 500	51398833	15446515537	6388
SRR6000870	SAM_29	SAMN07599748	PAIRED	ILLUMINA	NextSeq 500	30745596	9254324230	3734
SRR6000907	SAM_30	SAMN07599749	PAIRED	ILLUMINA	NextSeq 500	34084830	10259095184	4139
SRR6000891	SAM_31	SAMN07599750	PAIRED	ILLUMINA	NextSeq 500	23380079	7038691874	2681
SRR6000909	SAM_32	SAMN07599751	PAIRED	ILLUMINA	NextSeq 500	43629321	13122918786	5302
SRR6000908	SAM_33	SAMN07599752	PAIRED	ILLUMINA	NextSeq 500	27260285	8206528512	3107
SRR6000911	SAM_34	SAMN07599753	PAIRED	ILLUMINA	NextSeq 500	32122005	9640706749	3957
SRR6000892	SAM_35	SAMN07599754	PAIRED	ILLUMINA	NextSeq 500	51481586	15491805343	6322
SRR6000920	SAM_36	SAMN07599755	PAIRED	ILLUMINA	NextSeq 500	65163248	19608627392	7963
SRR6000912	SAM_37	SAMN07599756	PAIRED	ILLUMINA	NextSeq 500	39716327	11831144024	4839
SRR6000921	SAM_38	SAMN07599757	PAIRED	ILLUMINA	NextSeq 500	32407863	9755757015	3696
SRR6000932	SAM_39	SAMN07599758	PAIRED	ILLUMINA	NextSeq 500	20584684	6196645358	2520
SRR6000895	SAM_40	SAMN07599759	PAIRED	ILLUMINA	NextSeq 500	48744996	14672373325	5920
