genus	coef_C1	coef_C2	coef_C3	n_cohorts_nz	n_pos_sign	n_neg_sign	sign_consistent	sign_inverted	dir_C1	dir_C2	dir_C3
Paraprevotella	-0.25246	-0.00613	-0.10717	3	0	3	True	False	NR+	NR+	NR+
Sellimonas	0.138	0.02019	0.04914	3	3	0	True	False	R+	R+	R+
Akkermansia	-0.12971	0.21254	0.00158	3	2	1	False	True	NR+	R+	R+
Blohavirus	0.09646	-0.14502	0.17908	3	2	1	False	True	R+	NR+	R+
Butyricimonas	-0.00146	0.07234	0.06174	3	2	1	False	True	NR+	R+	R+
Campylobacter	0.02006	0.05855	-0.27908	3	2	1	False	True	R+	R+	NR+
Collinsella	-0.04459	0.00484	-0.01128	3	1	2	False	True	NR+	R+	NR+
Desulfovibrio	0.0961	0.02395	-0.06012	3	2	1	False	True	R+	R+	NR+
Escherichia	0.12114	-0.02314	0.04389	3	2	1	False	True	R+	NR+	R+
Faecalibacillus	0.17654	-0.34118	0.15821	3	2	1	False	True	R+	NR+	R+
Monoglobus	-0.06226	0.07613	-0.01877	3	1	2	False	True	NR+	R+	NR+
Qiania	-0.08299	-0.08871	0.12934	3	1	2	False	True	NR+	NR+	R+
Solibaculum	0.14139	-0.04293	0.0466	3	2	1	False	True	R+	NR+	R+
Veillonella	-0.07845	-0.11717	0.07422	3	1	2	False	True	NR+	NR+	R+
Wujia	0.15016	0.23693	-0.02836	3	2	1	False	True	R+	R+	NR+
Actinomyces	-0.10055	0.0	-0.09923	2	0	2	True	False	NR+	0	NR+
Barnesiella	0.0	-0.02669	-0.2563	2	0	2	True	False	0	NR+	NR+
Carjivirus	-0.16375	-0.05922	0.0	2	0	2	True	False	NR+	NR+	0
Catenibacterium	-0.08874	-0.22601	0.0	2	0	2	True	False	NR+	NR+	0
Citrobacter	0.0	-0.03341	-0.1165	2	0	2	True	False	0	NR+	NR+
Eggerthella	0.0	0.14793	0.10748	2	2	0	True	False	0	R+	R+
Enterobacter	0.1944	0.0	0.02346	2	2	0	True	False	R+	0	R+
Gordonibacter	0.0	0.00311	0.01551	2	2	0	True	False	0	R+	R+
Lacrimispora	0.0	0.04324	0.1549	2	2	0	True	False	0	R+	R+
Paenibacillus	0.0	0.03907	0.02836	2	2	0	True	False	0	R+	R+
Porphyromonas	-0.2685	-0.08469	0.0	2	0	2	True	False	NR+	NR+	0
Prevotella	0.18122	0.0	0.0249	2	2	0	True	False	R+	0	R+
Romboutsia	0.0	-0.05952	-0.02239	2	0	2	True	False	0	NR+	NR+
Schaalia	-0.18537	0.0	-0.0162	2	0	2	True	False	NR+	0	NR+
Streptomyces	-0.00586	-0.09046	0.0	2	0	2	True	False	NR+	NR+	0
Amedibacterium	-0.05824	0.0	0.10347	2	1	1	False	True	NR+	0	R+
Christensenella	0.21789	0.0	-0.05512	2	1	1	False	True	R+	0	NR+
Coprobacter	0.0	-0.07106	0.07685	2	1	1	False	True	0	NR+	R+
Dialister	0.0	-0.01138	0.00411	2	1	1	False	True	0	NR+	R+
Emergencia	0.16719	0.0	-0.32095	2	1	1	False	True	R+	0	NR+
Haemophilus	0.0	-0.08569	0.09096	2	1	1	False	True	0	NR+	R+
Klebsiella	0.0	-0.12528	0.2496	2	1	1	False	True	0	NR+	R+
Lachnospira	0.03537	0.0	-0.18423	2	1	1	False	True	R+	0	NR+
Lacticaseibacillus	-0.14383	0.0	0.03727	2	1	1	False	True	NR+	0	R+
Lactobacillus	-0.00654	0.19629	0.0	2	1	1	False	True	NR+	R+	0
Lactococcus	0.17944	0.0	-0.01662	2	1	1	False	True	R+	0	NR+
Limosilactobacillus	-0.02925	0.07831	0.0	2	1	1	False	True	NR+	R+	0
Marvinbryantia	0.0	-0.05663	0.24312	2	1	1	False	True	0	NR+	R+
Methanobrevibacter	-0.0869	0.15683	0.0	2	1	1	False	True	NR+	R+	0
Phascolarctobacterium	0.0	0.16271	-0.05279	2	1	1	False	True	0	R+	NR+
Sutterella	0.0	-0.17168	0.07929	2	1	1	False	True	0	NR+	R+
Turicimonas	0.0	0.13282	-0.11299	2	1	1	False	True	0	R+	NR+
Wansuia	0.0	0.02236	-0.07204	2	1	1	False	True	0	R+	NR+
