run_accession	actual	predicted_prob_R	predicted_class	correct	n_features
SRR11413606	R	0.6874	R	YES	61
SRR11413607	NR	1.0	R	NO	60
SRR11413608	R	0.7657	R	YES	61
SRR11413609	R	1.0	R	YES	61
SRR11413610	NR	1.0	R	NO	61
SRR11413611	NR	0.8753	R	NO	61
SRR11413612	R	0.0007	NR	NO	61
SRR11413613	R	0.022	NR	NO	61
SRR11413614	R	0.0123	NR	NO	61
SRR11413615	NR	0.92	R	NO	61
SRR11413617	R	0.0181	NR	NO	61
SRR11413618	NR	0.0003	NR	YES	61
SRR11413619	R	0.0197	NR	NO	60
SRR11413620	R	1.0	R	YES	61
SRR11413645	R	0.9869	R	YES	60
SRR11413646	NR	0.9341	R	NO	60
SRR11413647	NR	0.6502	R	NO	61
SRR11413648	R	0.3334	NR	NO	61
SRR11413649	R	0.2301	NR	NO	61
SRR11413650	R	0.0005	NR	NO	61
SRR11413652	R	0.204	NR	NO	60
SRR11413653	NR	0.0266	NR	YES	61
SRR11413654	R	0.0174	NR	NO	61
SRR11413655	NR	0.0195	NR	YES	61
SRR11413656	R	0.455	NR	NO	61
SRR11413657	R	0.0	NR	NO	61
SRR11413678	R	0.0	NR	NO	61
SRR11413679	R	0.929	R	YES	61
SRR11413680	NR	0.9948	R	NO	60
SRR11413681	R	0.0237	NR	NO	61
SRR11413683	R	0.1034	NR	NO	61
SRR11413684	R	0.9848	R	YES	61
SRR11413685	NR	0.9998	R	NO	61
SRR11413686	NR	1.0	R	NO	61
SRR11413687	R	0.0622	NR	NO	61
SRR11413688	NR	0.0007	NR	YES	61
SRR11413689	NR	0.0001	NR	YES	61
SRR11413690	R	0.223	NR	NO	61
SRR11413691	NR	0.988	R	NO	61
SRR11413692	R	0.0783	NR	NO	60
SRR5930493	NR	0.0	NR	YES	60
SRR5930494	R	0.9965	R	YES	61
SRR5930495	R	0.9768	R	YES	61
SRR5930497	R	0.0042	NR	NO	60
SRR5930498	R	0.8829	R	YES	61
SRR5930499	R	1.0	R	YES	61
SRR5930501	NR	0.9997	R	NO	61
SRR5930502	R	0.2085	NR	NO	61
SRR5930503	R	0.8112	R	YES	60
SRR5930504	R	1.0	R	YES	61
SRR5930505	R	0.9993	R	YES	61
SRR5930506	R	0.9998	R	YES	61
SRR5930507	NR	0.3997	NR	YES	61
SRR5930508	NR	0.1564	NR	YES	61
SRR5930509	NR	1.0	R	NO	61
SRR5930510	NR	1.0	R	NO	60
SRR5930511	R	0.0	NR	NO	61
SRR5930512	R	0.3124	NR	NO	60
SRR5930513	R	1.0	R	YES	61
SRR5930514	R	0.0	NR	NO	61
SRR5930515	NR	0.0291	NR	YES	61
SRR5930516	R	0.0001	NR	NO	61
SRR5930517	NR	1.0	R	NO	61
SRR5930518	NR	0.2257	NR	YES	61
SRR5930519	NR	0.9602	R	NO	61
SRR5930520	NR	0.0497	NR	YES	61
SRR5930521	NR	0.2911	NR	YES	60
SRR5930522	NR	0.9494	R	NO	61
SRR5930523	R	0.0024	NR	NO	60
SRR5930526	NR	0.2726	NR	YES	60
SRR5930527	R	0.999	R	YES	61
SRR5930528	NR	1.0	R	NO	61
SRR5930529	R	0.931	R	YES	61
SRR5930530	R	0.9927	R	YES	60
SRR5930531	R	0.9997	R	YES	61
SRR5930532	R	0.2025	NR	NO	61
SRR5930533	R	0.0008	NR	NO	61
SRR5930534	R	1.0	R	YES	61
SRR5930536	R	0.0	NR	NO	61
