genus	folds_selected	folds_nonzero	pct_nonzero	avg_coef_nonzero	direction
Ligilactobacillus	118	118	100.0	0.0787	R+
Oxalobacter	118	118	100.0	0.2214	R+
Sellimonas	118	118	100.0	0.2052	R+
Catenibacterium	118	118	100.0	-0.115	NR+
Longicatena	118	118	100.0	0.0566	R+
Wujia	118	118	100.0	0.2408	R+
Eggerthella	118	118	100.0	0.075	R+
Adlercreutzia	118	118	100.0	-0.1366	NR+
Desulfovibrio	118	118	100.0	0.1058	R+
Phascolarctobacterium	118	118	100.0	0.0715	R+
Blohavirus	118	118	100.0	0.0897	R+
Lactococcus	118	118	100.0	0.1895	R+
Methanobrevibacter	118	118	100.0	0.0657	R+
Barnesiella	118	118	100.0	-0.0432	NR+
Paraprevotella	118	118	100.0	-0.0616	NR+
Lactobacillus	118	118	100.0	0.0696	R+
Collinsella	118	118	100.0	-0.1142	NR+
Emergencia	118	118	100.0	-0.149	NR+
Actinomyces	118	118	100.0	-0.1766	NR+
Streptomyces	118	118	100.0	-0.1347	NR+
Acidaminococcus	118	118	100.0	0.166	R+
Citrobacter	118	118	100.0	-0.054	NR+
Escherichia	118	118	100.0	0.0515	R+
Porphyromonas	118	118	100.0	-0.1652	NR+
Romboutsia	118	118	100.0	-0.0594	NR+
Limosilactobacillus	118	118	100.0	-0.0789	NR+
Wansuia	118	118	100.0	-0.0735	NR+
Odoribacter	118	117	99.2	0.0609	R+
Campylobacter	118	117	99.2	0.0463	R+
Prevotella	118	116	98.3	0.0385	R+
Butyricimonas	118	115	97.5	0.0272	R+
Dialister	118	115	97.5	-0.041	NR+
Carjivirus	118	115	97.5	-0.0216	NR+
Faecalibacillus	118	115	97.5	0.0208	R+
Veillonella	118	112	94.9	-0.0216	NR+
Marvinbryantia	118	112	94.9	-0.0306	NR+
Fusobacterium	118	110	93.2	-0.0177	NR+
Lachnospira	118	110	93.2	-0.0227	NR+
Turicibacter	118	108	91.5	-0.0243	NR+
Coprobacter	118	108	91.5	-0.0182	NR+
Sutterella	118	106	89.8	-0.0133	NR+
Klebsiella	118	106	89.8	-0.0161	NR+
Haemophilus	118	106	89.8	0.02	R+
Afonbuvirus	106	105	99.1	-0.0314	NR+
Solibaculum	118	105	89.0	-0.0105	NR+
Cohcovirus	104	104	100.0	0.0903	R+
Enterobacter	118	98	83.1	0.0143	R+
Lacticaseibacillus	118	93	78.8	0.0154	R+
Massilistercora	118	90	76.3	0.015	R+
Maliibacterium	99	81	81.8	0.011	R+
Akkermansia	118	81	68.6	-0.0054	NR+
Lacrimispora	118	78	66.1	0.0021	R+
Qiania	118	77	65.3	-0.0095	NR+
Gordonibacter	118	69	58.5	-0.0048	NR+
Christensenella	118	68	57.6	0.001	R+
Pseudomonas	118	65	55.1	-0.0041	NR+
Paenibacillus	118	63	53.4	-0.0156	NR+
Monoglobus	118	54	45.8	0.0023	R+
Schaalia	118	53	44.9	-0.0055	NR+
Amedibacterium	37	37	100.0	0.1076	R+
Rothia	8	6	75.0	-0.0272	NR+
