perm_index	auc
1	0.567
2	0.4462
3	0.5246
4	0.556
5	0.319
6	0.5001
7	0.5214
8	0.5101
9	0.4492
10	0.4515
11	0.4867
12	0.5415
13	0.3452
14	0.4906
15	0.5184
16	0.5544
17	0.5596
18	0.4055
19	0.5042
20	0.6029
21	0.3236
22	0.4711
23	0.4828
24	0.5097
25	0.4466
26	0.5712
27	0.5269
28	0.5528
29	0.4444
30	0.4549
31	0.5286
32	0.5014
33	0.456
34	0.419
35	0.5016
36	0.3885
37	0.3837
38	0.4155
39	0.4699
40	0.5457
41	0.4104
42	0.4667
43	0.5739
44	0.591
45	0.5579
46	0.4909
47	0.4301
48	0.4565
49	0.5965
50	0.4214
51	0.6095
52	0.4314
53	0.5205
54	0.35
55	0.3534
56	0.4394
57	0.3207
58	0.6052
59	0.4988
60	0.5602
61	0.4692
62	0.4653
63	0.5674
64	0.4437
65	0.4854
66	0.5642
67	0.478
68	0.4006
69	0.5103
70	0.389
71	0.4164
72	0.593
73	0.5019
74	0.464
75	0.4032
76	0.5407
77	0.5466
78	0.4757
79	0.5726
80	0.5395
81	0.588
82	0.2879
83	0.5137
84	0.5715
85	0.4916
86	0.532
87	0.3539
88	0.4867
89	0.3712
90	0.5752
91	0.3804
92	0.4936
93	0.5486
94	0.5758
95	0.4611
96	0.3302
97	0.3329
98	0.4447
99	0.3864
100	0.4802
