	0
Homo	0.036323009288985096
Collinsella	0.018240480283538755
Faecalibacterium	0.01794744799462544
Phocaeicola	0.016744381568282778
Coprococcus	0.01617960359917972
Ruthenibacterium	0.01490888416856035
Ruminococcus	0.014901050470783113
Parabacteroides	0.014246485374335585
Blautia	0.013516301714841906
Streptococcus	0.013423841340211734
Butyrivibrio	0.013367509694761325
Butyricimonas	0.013305506419530811
Anaerobutyricum	0.0131790467121696
Flavonifractor	0.013123716521534698
Actinomyces	0.012998943174432087
Thomasclavelia	0.012608518907645819
Anaerostipes	0.01260796893834805
Anaerotruncus	0.012452695036253993
Phascolarctobacterium	0.01242674045008545
Gordonibacter	0.012418525007600224
